Categoría,Concepto / Proveedor,Presupuesto Total (€),Pagado,Fecha Próximo Pago,Próximo pago,Pendiente (Final),,Concepto,Presupuesto,Pagado,Próximo pago,,,TOTAL,POR INVITADO
BANQUETE,Catering (350 pax aprox x ±90€),31.150€,"1.000,00 €",Julio,50% del total,30.150€,,AUTOBUSES,1.500 €,,1.500 €,,INVITADOS ESTIMADOS,280,
BANQUETE,Alquiler Finca,5.200€,"2.579,50 €",Julio,2.621€,2.621€,,FOTOCOOL,630 €,50 €,580 €,,CATERING - DAVISSON (90€/PAX),25.200 €,90 €
BANQUETE,Fianza La Carreña,500€,,Julio,,500€,,FOTOGRAFÍA Y VÍDEO,2.300 €,300 €,2.000 €,,FINCA - LA CARREÑA,2.600 €,9 €
BANQUETE,Iluminación,3.086€,"382,50 €",Agosto,2.704€,2.704€,,DONACIÓN IGLESIA,400 €,,400 €,,ILUMIACIÓN,3.100 €,11 €
FIESTA,DJ + Sonido (Equipo extra),2.257€,"346,67 €",Agosto,1.910€,1.910€,,FLORES IGLESIA,1.000 €,,1.000 €,,DJ + SONIDO,2.300 €,8 €
FIESTA,Autobuses (2-3 unidades),1.500€,,,1.500€,1.500€,,EXPEDIENTE Y ALIANZAS,100 €,,100 €,,TOTAL,33.200 €,119 €
FIESTA,Fotocool,630€,"50,00 €",Agosto,580€,580€,,VESTIDO NOVIA,2.390 €,1.195 €,,,,,
FOTO/VIDEO,Pack Fotografía y Vídeo,2.300€,"300,00 €",Agosto,2.000€,2.000€,,TRAJE NOVIO,1.440 €,740 €,700 €,,,,
IGLESIA,Donación Iglesia,400€,,,400€,400€,,MAQUILLAJE Y PELUQUERÍA,350 €,50 €,300 €,,,,
IGLESIA,Flores Iglesia y Finca,1.000€,,,1.000€,1.000€,,REGALOS INVITADOS,1.300 €,87 €,1.213 €,,,,
IGLESIA,Expediente y Alianzas,100€,,,100€,100€,,VIAJE,7.684 €,5.239 €,2.445 €,,,,
IMAGEN,Vestido Novia + Arreglos,2.390€,"1.195,00 €",Julio,,1.195€,,INVITACIONES Y CARTELERÍA,550 €,130 €,420 €,,,,
IMAGEN,Traje Novio,1.440€,"740,00 €",Junio,700€,700€,,TOTAL,19.644 €,7.791 €,10.658 €,,,,
IMAGEN,Maquillaje y Peluquería,350€,"50,00 €",Agosto,300€,300€,,,,,,,,,
REGALOS,Invitaciones y Cartelería,550€,"130,00 €",,420€,420€,,REGALO,2.390 €,,,,,,
REGALOS,Regalos Invitados,1.300€,"86,52 €",,1.213€,1.213€,,,,,,,,,
VIAJE,Viaje,7.684€,"5.239,21 €",pronto,2.445€,2.445€,,TOTAL REAL,17.254 €,,,,,,
Z. TOTALES,TOTAL SIN CATERING,30.687€,,,,,,,,,,,,,
Z. TOTALES,SUMA GLOBAL,61.837€,"11.099,40 €",,17.892€,19.587€,,,,,,,,,